"ID","NMP","EST","FC","LC","DIST","LCT","SEX","NTP","RP","P_altmani","Proleptus_sp."
1,"Saludable","Invierno",0,"Santa María del Mar",0,2,"Macho",0,0,0,0
2,"Saludable","Invierno",0,"Santa María del Mar",5,2.1,"Macho",1,1,1,0
3,"Saludable","Invierno",0,"Santa María del Mar",5,3.2,"Hembra",2,1,2,0
4,"Saludable","Invierno",0,"Santa María del Mar",10,1.7,"Macho",0,0,0,0
5,"Saludable","Invierno",0,"Santa María del Mar",10,1.7,"Macho",0,0,0,0
6,"Saludable","Invierno",0,"Santa María del Mar",10,1.6,"Macho",0,0,0,0
7,"Saludable","Invierno",0,"Santa María del Mar",10,3.4,"Hembra",1,1,1,0
8,"Saludable","Invierno",0,"Santa María del Mar",10,2.2,"Macho",0,0,0,0
9,"Saludable","Invierno",0,"Santa María del Mar",10,2.2,"Macho",0,0,0,0
10,"Saludable","Invierno",0,"Santa María del Mar",10,2.2,"Macho",0,0,0,0
11,"Saludable","Invierno",0,"Santa María del Mar",10,1.6,"Macho",0,0,0,0
12,"Saludable","Invierno",0,"Santa María del Mar",10,2.1,"Macho",0,0,0,0
13,"Saludable","Invierno",0,"Santa María del Mar",10,1.6,"Macho",0,0,0,0
14,"Saludable","Invierno",0,"Santa María del Mar",15,2,"Macho",0,0,0,0
15,"Saludable","Invierno",0,"Santa María del Mar",15,3.2,"Hembra",0,0,0,0
16,"Saludable","Invierno",0,"Santa María del Mar",15,1.6,"Macho",0,0,0,0
17,"Saludable","Invierno",0,"Santa María del Mar",15,2,"Macho",0,0,0,0
18,"Saludable","Invierno",0,"Santa María del Mar",15,1.6,"Macho",0,0,0,0
19,"Saludable","Invierno",0,"Santa María del Mar",15,1.6,"Macho",1,1,1,0
20,"Saludable","Invierno",0,"Santa María del Mar",15,2.1,"Macho",0,0,0,0
21,"Saludable","Invierno",0,"Santa María del Mar",15,2,"Macho",0,0,0,0
22,"Saludable","Invierno",0,"Santa María del Mar",15,1.9,"Macho",0,0,0,0
23,"Saludable","Invierno",0,"Santa María del Mar",20,1.2,"Macho",0,0,0,0
24,"Saludable","Invierno",0,"Santa María del Mar",20,1.2,"Macho",0,0,0,0
25,"Saludable","Invierno",0,"Santa María del Mar",20,1.5,"Macho",0,0,0,0
26,"Saludable","Invierno",0,"Santa María del Mar",20,2.7,"Hembra",0,0,0,0
27,"Saludable","Invierno",0,"Santa María del Mar",20,3.2,"Macho",0,0,0,0
28,"Saludable","Invierno",0,"Santa María del Mar",20,1.2,"Hembra",1,1,1,0
29,"Saludable","Invierno",0,"Santa María del Mar",20,1.5,"Macho",0,0,0,0
30,"Saludable","Invierno",0,"Santa María del Mar",20,2,"Macho",0,0,0,0
31,"Saludable","Invierno",0,"Santa María del Mar",20,2.1,"Macho",2,1,2,0
32,"Saludable","Invierno",0,"Santa María del Mar",20,2,"Macho",0,0,0,0
33,"Saludable","Invierno",0,"Santa María del Mar",20,2.1,"Macho",0,0,0,0
34,"Saludable","Invierno",0,"Santa María del Mar",20,2,"Macho",0,0,0,0
35,"Saludable","Invierno",0,"Santa María del Mar",20,1.8,"Macho",0,0,0,0
36,"Saludable","Invierno",0,"Santa María del Mar",20,2,"Macho",0,0,0,0
37,"Saludable","Invierno",0,"Santa María del Mar",25,1.5,"Macho",0,0,0,0
38,"Saludable","Invierno",0,"Santa María del Mar",25,1.5,"Macho",0,0,0,0
39,"Saludable","Invierno",0,"Santa María del Mar",25,1.3,"Macho",0,0,0,0
40,"Saludable","Invierno",0,"Santa María del Mar",25,1.3,"Macho",0,0,0,0
41,"Saludable","Invierno",0,"Santa María del Mar",25,1.4,"Macho",0,0,0,0
42,"Saludable","Invierno",0,"Santa María del Mar",25,1.2,"Macho",0,0,0,0
43,"Saludable","Invierno",0,"Santa María del Mar",25,1.3,"Macho",0,0,0,0
44,"Saludable","Invierno",0,"Santa María del Mar",25,1.2,"Macho",0,0,0,0
45,"Saludable","Invierno",0,"Santa María del Mar",25,1.1,"Macho",0,0,0,0
46,"Saludable","Invierno",0,"Santa María del Mar",25,1.8,"Macho",0,0,0,0
47,"Saludable","Invierno",0,"Santa María del Mar",25,1.8,"Macho",0,0,0,0
48,"Saludable","Invierno",0,"Santa María del Mar",25,1.4,"Macho",0,0,0,0
49,"Saludable","Invierno",0,"Santa María del Mar",25,1.5,"Macho",0,0,0,0
50,"Saludable","Invierno",0,"Santa María del Mar",25,1.3,"Macho",0,0,0,0
51,"Saludable","Invierno",0,"Santa María del Mar",25,1.3,"Macho",0,0,0,0
52,"Saludable","Invierno",0,"Santa María del Mar",25,2.2,"Macho",0,0,0,0
53,"Saludable","Invierno",0,"Santa María del Mar",25,3,"Macho",1,1,1,0
54,"Saludable","Invierno",0,"Santa María del Mar",25,2,"Macho",1,1,1,0
55,"Saludable","Invierno",0,"Santa María del Mar",25,2.1,"Macho",0,0,0,0
56,"Saludable","Invierno",0,"Santa María del Mar",0,2.1,"Macho",0,0,0,0
57,"Saludable","Invierno",0,"Santa María del Mar",0,2,"Macho",0,0,0,0
58,"Saludable","Invierno",0,"Santa María del Mar",5,2,"Macho",0,0,0,0
59,"Saludable","Invierno",0,"Santa María del Mar",5,1.9,"Macho",0,0,0,0
